6010	17-10-2017	11	34	39	41	43	48	
6009	14-10-2017	3	14	28	32	34	46	
6008	12-10-2017	8	9	20	25	34	40
6007	10-10-2017	4	6	22	38	40	46	
6006	07-10-2017	7	23	26	29	32	44	
6005	05-10-2017	9	10	13	22	38	42	
6004	03-10-2017	1	2	10	12	30	36	
6003	30-09-2017	3	25	34	35	38	39	
6002	28-09-2017	8	10	34	35	37	48	
6001	26-09-2017	4	15	28	29	30	41	
6000	23-09-2017	11	22	23	37	44	46	
5999	21-09-2017	6	21	40	42	47	49	
5998	19-09-2017	3	15	16	31	32	35	
5997	16-09-2017	2	4	23	28	37	38	
5996	14-09-2017	9	27	37	40	42	46	
5995	12-09-2017	5	24	27	34	42	45	
5994	09-09-2017	6	16	33	34	41	42	
5993	07-09-2017	1	2	15	18	38	45	
5992	05-09-2017	6	21	24	38	40	47	
5991	02-09-2017	14	20	26	29	34	41	
5990	31-08-2017	6	9	10	34	41	42	
5989	29-08-2017	4	21	34	37	38	39	
5988	26-08-2017	9	10	23	37	41	47	
5987	24-08-2017	9	29	34	35	43	45	
5986	22-08-2017	11	15	28	31	36	48	
5985	19-08-2017	4	15	27	35	36	46	
5984	17-08-2017	7	10	13	19	36	38	
5983	15-08-2017	3	10	23	34	35	44	
5982	12-08-2017	8	25	30	36	37	47	
5981	10-08-2017	13	24	34	36	39	47	
5980	08-08-2017	1	28	30	34	37	38	
5979	05-08-2017	10	20	23	35	47	49	
5978	03-08-2017	15	31	34	38	41	44	
5977	01-08-2017	12	15	19	23	27	33	
5976	29-07-2017	4	10	24	29	32	40	
5975	27-07-2017	15	28	36	38	39	46	
5974	25-07-2017	11	22	30	32	35	39	
5973	22-07-2017	4	6	9	27	30	35	
5972	20-07-2017	6	14	28	31	34	44	
5971	18-07-2017	10	13	18	25	32	44	
5970	15-07-2017	3	10	11	18	39	46	
5969	13-07-2017	2	8	9	32	36	44	
5968	11-07-2017	1	3	17	23	34	48	
5967	08-07-2017	14	30	34	38	43	46	
5966	06-07-2017	1	11	14	30	34	36	
5965	04-07-2017	28	32	33	38	45	49	
5964	01-07-2017	12	22	28	30	40	47	
5963	29-06-2017	12	23	31	46	48	49	
5962	27-06-2017	1	2	5	11	38	39	
5961	24-06-2017	1	4	25	31	32	41	
5960	22-06-2017	11	13	14	15	16	36	
5959	20-06-2017	3	19	20	24	41	49	
5958	17-06-2017	5	7	10	11	23	34	
5957	15-06-2017	4	10	21	36	40	46	
5956	13-06-2017	9	24	27	30	40	48	
5955	10-06-2017	6	8	17	35	36	41	
5954	08-06-2017	22	26	37	39	45	48	
5953	06-06-2017	12	16	21	23	24	37	
5952	03-06-2017	1	7	14	15	27	47	
5951	01-06-2017	2	4	5	25	32	49	
5950	30-05-2017	8	9	17	32	34	36	
5949	27-05-2017	1	6	26	27	32	36	
5948	25-05-2017	2	4	11	24	26	43	
5947	23-05-2017	4	11	13	19	26	27	
5946	20-05-2017	10	11	12	19	24	34	
5945	18-05-2017	4	17	24	34	40	47	
5944	16-05-2017	6	25	27	29	32	36	
5943	13-05-2017	6	11	23	37	44	46	
5942	11-05-2017	3	22	23	28	38	43	
5941	09-05-2017	3	17	28	32	34	48	
5940	06-05-2017	3	7	9	14	43	49	
5939	04-05-2017	7	14	25	38	44	49	
5938	02-05-2017	7	14	15	16	19	25	
5937	29-04-2017	3	6	7	11	41	46	
5936	27-04-2017	6	15	27	31	44	48	
5935	25-04-2017	7	15	18	20	27	34	
5934	22-04-2017	22	33	37	38	42	45	
5933	20-04-2017	4	8	15	17	27	42	
5932	18-04-2017	13	16	17	29	42	45	
5931	15-04-2017	1	5	17	36	37	42	
5930	13-04-2017	2	14	24	42	45	47	
5929	11-04-2017	6	9	13	37	41	43	
5928	08-04-2017	2	6	9	13	31	32	
5927	06-04-2017	12	16	21	32	42	45	
5926	04-04-2017	6	8	14	36	46	49	
5925	01-04-2017	17	21	30	40	41	44	
5924	30-03-2017	6	18	23	25	30	34	
5923	28-03-2017	2	16	26	28	38	42	
5922	25-03-2017	3	7	23	36	38	47	
5921	23-03-2017	14	21	32	38	42	44	
5920	21-03-2017	8	21	23	39	41	43	
5919	18-03-2017	16	18	20	23	25	37	
5918	16-03-2017	9	10	25	35	44	45	
5917	14-03-2017	5	12	34	41	47	49	
5916	11-03-2017	22	25	33	44	45	49	
5915	09-03-2017	1	16	28	29	34	43	
5914	07-03-2017	4	13	16	22	29	44	
5913	04-03-2017	13	15	22	28	34	44	
5912	02-03-2017	5	16	24	25	26	47	
5911	28-02-2017	1	6	23	33	40	45	
